scenario_uid,source,split,outcome,gate_lo_m,gate_hi_m,reconstruction_residual_m,components_forward,components_aligned,nearest_gap_m,nearest_lo_m,nearest_hi_m,nearest_lane_types,nearest_is_route_lane,lane_change_left_crosses,lane_change_right_crosses
pg:scenarionet_v1:PGMap-12920249,pg,train,ok,-4.724624424534511,1.5748748081781803,4.440892098500626e-16,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-12920254,pg,train,ok,-5.137260369897382,5.137260369897497,2.1316282072803006e-14,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-13920004,pg,train,ok,-14.528286989858145,8.0524904894651,0.0,2,2,4.797758989328173,12.850249478793273,23.91210533858508,LANE_SURFACE_UNSTRUCTURE,False,True,True
pg:scenarionet_v1:PGMap-13920022,pg,train,ok,-1.9468404423831203,31.352500579055004,0.0,2,1,3.373728591268275,-11.0,-5.320569033651395,LANE_SURFACE_UNSTRUCTURE,False,False,True
pg:scenarionet_v1:PGMap-13920025,pg,train,ok,-1.677660874422358,8.388304372111776,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920028,pg,train,ok,-11.0,24.700853806940714,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-13920035,pg,train,ok,-21.992483937254608,6.491883924880355,1.0658141036401503e-14,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-13920039,pg,test,ok,-1.7099323938269038,5.1297971814807255,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920041,pg,train,ok,-9.973701282460041,1.9947402564919798,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-13920053,pg,train,ok,-1.7598377446524864,8.799188723262446,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920063,pg,train,ok,-1.8623736840758767,5.587121052227701,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920081,pg,train,ok,-5.937602964592969,5.937602964592983,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-13920098,pg,train,ok,-4.96306765323186,4.96306765323186,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-13920103,pg,test,ok,-6.1224950889417045,2.0408316963139015,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-13920128,pg,train,ok,-1.9143426621142596,9.571713310571145,8.659739592076221e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920139,pg,train,ok,-1.7591217973863138,5.277365392158998,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920156,pg,train,ok,-5.9245871959578125,23.228069162825918,0.0,2,2,0.01812429172116481,-11.33071368337373,-5.942711487678977,LANE_SURFACE_UNSTRUCTURE,False,True,True
pg:scenarionet_v1:PGMap-13920157,pg,train,ok,-6.298246625754871,6.298246625754885,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-13920161,pg,train,ok,-6.644389604005883,2.214796534668621,2.6645352591003757e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-13920173,pg,train,ok,-1.9370820255734174,5.8112460767202805,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920191,pg,train,ok,-2.1011568146971826,6.303470444091561,8.43769498715119e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920206,pg,train,ok,-11.256864691701622,4.577586153463756,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-13920228,pg,train,ok,-1.973769736474324,5.921309209423001,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920236,pg,train,ok,-8.086338131005462,1.6172676262010839,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-13920237,pg,train,ok,-4.696792408989566,24.01807109296388,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-13920247,pg,test,ok,-1.9619014811379145,9.809507405689558,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920253,pg,train,ok,-1.6611354434709966,8.305677217354997,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920255,pg,test,ok,-1.6227240925052087,4.868172277515612,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920259,pg,test,ok,-4.100157958761358,5.520729706825975,0.0,2,2,0.01208522734796702,-11.0,-4.112243186109325,LANE_SURFACE_UNSTRUCTURE,False,True,True
pg:scenarionet_v1:PGMap-13920285,pg,train,ok,-1.60082612229263,20.6049567337556,6.661338147750939e-16,2,2,1.3900883744043149,-11.259500317973277,-2.990914496696945,LANE_SURFACE_UNSTRUCTURE,False,False,True
pg:scenarionet_v1:PGMap-13920299,pg,train,ok,-6.125409185667853,2.0418030618892695,1.3322676295501878e-14,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-13920341,pg,train,ok,-4.856263754938039,4.85626375493803,1.5987211554602254e-14,2,2,94.50546284322922,99.36172659816725,100.0,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-13920355,pg,train,ok,-2.0643182285229216,6.192954685568779,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920364,pg,train,ok,-6.08644827548888,6.056688681332204,2.6645352591003757e-15,2,2,4.965388659935354,-33.45506628647283,-11.051836935424234,LANE_SURFACE_STREET|LANE_SURFACE_UNSTRUCTURE,False,True,True
pg:scenarionet_v1:PGMap-13920365,pg,train,ok,-1.939402195247368,9.697010976236811,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920368,pg,train,ok,-5.706173139317134,1.902057713105666,1.865174681370263e-14,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-13920373,pg,train,ok,-2.0401361556738067,6.1204084670214485,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-13920375,pg,train,ok,-2.011502515176376,10.057512575881866,1.554312234475219e-14,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920002,pg,train,ok,-4.882497928367739,16.10582452363832,1.7763568394002505e-15,2,1,51.73047696024338,67.8363014838817,83.69281830513367,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-14920007,pg,train,ok,-7.757371137733799,1.5308463285519593,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920010,pg,train,ok,-4.789109998937832,6.001723969841265,0.0,3,1,0.012147665636035754,6.013871635477301,17.965768744846343,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-14920021,pg,train,ok,-1.8304275934675425,17.530464458743186,3.197442310920451e-14,3,2,30.800345263085088,48.330809721828274,56.24667446843347,LANE_SURFACE_STREET,False,False,True
pg:scenarionet_v1:PGMap-14920025,pg,train,ok,-5.059056352033494,1.686352117344513,8.881784197001252e-16,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920027,pg,train,ok,-9.359481063596348,1.871896212719264,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920031,pg,train,ok,-5.827593900321842,9.71265650053642,5.329070518200751e-15,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920040,pg,train,ok,-15.062144467473587,26.56895497240785,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920051,pg,train,ok,-14.222756318467006,2.0318223312095824,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920060,pg,train,ok,-2.0432800698560527,6.129840209568172,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920065,pg,train,ok,-10.46136583495904,27.895794902950158,0.0,2,2,0.015203565354184434,-15.101279806473485,-10.476569400313224,LANE_SURFACE_UNSTRUCTURE,False,True,True
pg:scenarionet_v1:PGMap-14920078,pg,train,ok,-10.720703143242691,2.144140628648547,3.9968028886505635e-15,2,2,74.06047123166483,-97.64601814679874,-84.78117437490752,LANE_SURFACE_STREET,False,True,False
pg:scenarionet_v1:PGMap-14920093,pg,train,ok,-9.732250656814623,1.936801126829869,5.995204332975845e-15,2,2,4.581205379475952,-34.960013824443095,-14.313456036290575,LANE_SURFACE_STREET|LANE_SURFACE_UNSTRUCTURE,False,True,False
pg:scenarionet_v1:PGMap-14920105,pg,train,ok,-4.645727287677289,1.5485757625590677,1.3988810110276972e-14,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920120,pg,train,ok,-2.085478225655905,23.696744090864243,0.0,2,2,0.8491648291512774,-11.0,-2.9346430548071822,LANE_SURFACE_UNSTRUCTURE,False,False,True
pg:scenarionet_v1:PGMap-14920122,pg,train,ok,-2.175821636329813,8.001068397473574,1.7763568394002505e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920123,pg,train,ok,-7.761878026376998,1.552375605275416,7.105427357601002e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920144,pg,train,ok,-2.0461323621638736,10.230661810819479,8.881784197001252e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920154,pg,train,ok,-1.9526506119963916,22.838862659119084,5.3290705182007514e-14,2,1,24.000778371650117,46.8396410307692,71.45493130009194,LANE_SURFACE_STREET,False,False,True
pg:scenarionet_v1:PGMap-14920161,pg,test,ok,-1.8600885514167667,5.58026565425031,1.7763568394002505e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920163,pg,test,ok,-1.6161167803305287,16.70366698795678,2.220446049250313e-16,2,1,52.90000673651306,69.60367372446984,76.16717930573782,LANE_SURFACE_STREET,False,False,True
pg:scenarionet_v1:PGMap-14920166,pg,train,ok,-6.52209041694114,6.522090416941168,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920174,pg,train,ok,-1.707529126357393,5.122587379072179,7.105427357601002e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920176,pg,train,ok,-1.7743054306814736,5.3229162920443684,6.217248937900877e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920178,pg,train,ok,-6.306101415868817,2.1020338052896346,7.105427357601002e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920214,pg,train,ok,-1.9606503377691131,9.803251688845506,3.3306690738754696e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920215,pg,train,ok,-8.039343374524151,6.28530574296029,0.0,2,2,0.031738315350196444,-11.348630736271659,-8.071081689874347,LANE_SURFACE_UNSTRUCTURE,False,True,True
pg:scenarionet_v1:PGMap-14920225,pg,train,ok,-4.833774596992712,10.994421364950957,5.329070518200751e-15,2,1,43.679517265710594,54.67393863066155,67.61542259129041,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-14920229,pg,train,ok,-9.185343685650675,1.8370687371301662,3.552713678800501e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920235,pg,train,ok,-12.520358982368563,1.7886227117669469,8.881784197001252e-16,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920248,pg,test,ok,-1.8601540510312429,5.58046215309379,1.509903313490213e-14,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920253,pg,train,ok,-2.1019549008931575,6.928169755583096,4.440892098500626e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920280,pg,train,ok,-1.4789968354040588,18.632663022382513,3.552713678800501e-15,2,1,23.079029982638662,41.711693005021175,53.537285044198086,LANE_SURFACE_STREET,False,False,True
pg:scenarionet_v1:PGMap-14920326,pg,train,ok,-15.174265070482221,25.9863900343303,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920330,pg,train,ok,-1.7788365444392227,11.38466109041063,7.105427357601002e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920342,pg,test,ok,-10.964769539352659,2.192953907870532,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920349,pg,train,ok,-6.466118932204564,13.37537654856142,1.7763568394002505e-15,2,1,23.529513559865237,36.904890108426656,57.65442943606766,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-14920351,pg,train,ok,-1.8906074388882104,1.8906074388881962,0.0,1,1,,,,,False,False,False
pg:scenarionet_v1:PGMap-14920374,pg,train,ok,-6.525631465272012,2.159502863192628,1.7763568394002505e-15,3,3,5.495326195657983,-27.640646652005344,-12.020957660929994,LANE_SURFACE_STREET|LANE_SURFACE_UNSTRUCTURE,False,True,False
pg:scenarionet_v1:PGMap-14920376,pg,train,ok,-11.333463213252557,20.39222987442426,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920394,pg,train,ok,-2.2168656054081293,2.2168656054081435,1.5987211554602254e-14,1,1,,,,,False,False,False
pg:scenarionet_v1:PGMap-14920397,pg,train,ok,-6.381655595049045,2.1339302748893463,8.881784197001252e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920419,pg,train,ok,-5.9163763776926395,5.916376377692686,1.4210854715202004e-14,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920448,pg,train,ok,-8.443517933481473,1.6887035866962776,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920465,pg,train,ok,-2.037917573054557,10.189587865272813,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920491,pg,train,ok,-6.160906545828013,2.0536355152760137,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920495,pg,train,ok,-1.6240617544397513,14.828311675638249,1.7763568394002505e-15,3,2,17.832219723355735,32.66053139899398,39.86338362520533,LANE_SURFACE_STREET,False,False,True
pg:scenarionet_v1:PGMap-14920517,pg,train,ok,-1.4809919254978057,4.266839679793961,4.263256414560601e-14,3,2,15.760422761405223,20.027262441199184,22.899152111192464,LANE_SURFACE_STREET,False,False,True
pg:scenarionet_v1:PGMap-14920520,pg,train,ok,-12.854081739621051,1.9676954269505273,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920522,pg,train,ok,-2.0843764812881886,10.421882406440886,0.0,2,2,4.688343312361951,-10.941472756226503,-6.77271979365014,LANE_SURFACE_STREET,False,False,True
pg:scenarionet_v1:PGMap-14920532,pg,train,ok,-14.90886973641895,19.746447373921953,0.0,2,2,0.010131274819613623,19.756578648741566,24.712210356483567,LANE_SURFACE_UNSTRUCTURE,False,True,True
pg:scenarionet_v1:PGMap-14920534,pg,test,ok,-11.06220661506712,4.0551765533680255,5.329070518200751e-15,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920552,pg,train,ok,-5.045842777429812,5.045842777429812,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920575,pg,train,ok,-2.184862149865438,6.554586449596329,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920578,pg,train,ok,-5.203387484819102,1.7344624949397311,1.3322676295501878e-14,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920582,pg,train,ok,-15.863237668093973,27.74500035925871,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920593,pg,train,ok,-1.559305297626068,20.35583178575638,0.0,2,2,2.8206307172880116,-11.406328961740513,-4.37993601491408,LANE_SURFACE_UNSTRUCTURE,False,False,True
pg:scenarionet_v1:PGMap-14920598,pg,train,ok,-10.69169532158692,2.7421653535820525,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920620,pg,train,ok,-14.187363465861866,6.418719991495666,2.6645352591003757e-15,2,1,0.024865852188808546,-32.690645063259055,-14.212229318050674,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-14920622,pg,train,ok,-1.9580383058697701,9.799327903950845,7.549516567451064e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920624,pg,train,ok,-8.926807217611369,6.26956967927255,0.0,3,3,0.029009829068073145,-14.929036781013153,-8.955817046679442,LANE_SURFACE_UNSTRUCTURE,False,True,True
pg:scenarionet_v1:PGMap-14920632,pg,train,ok,-8.863967372385403,17.427831195794596,0.0,2,1,46.717384840256756,64.14521603605135,86.00770409419513,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-14920674,pg,train,ok,-1.8551105006171698,10.764527276221799,2.6645352591003757e-15,2,1,25.017770822194393,35.78229809841619,39.91563249579809,LANE_SURFACE_STREET,False,False,True
pg:scenarionet_v1:PGMap-14920682,pg,train,ok,-17.83380886649599,2.0546327304505203,1.0658141036401503e-14,2,2,83.02862086782213,85.08325359827265,85.32529569716294,LANE_SURFACE_STREET,False,True,False
pg:scenarionet_v1:PGMap-14920686,pg,train,ok,-2.1192352821150955,18.25195770098434,2.1316282072803006e-14,1,2,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920694,pg,train,ok,-4.885395704889822,1.6284652349633135,5.329070518200751e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920697,pg,train,ok,-4.607310360576898,12.120574748031366,7.105427357601002e-15,2,1,49.971699000215985,62.09227374824735,66.28592405213172,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-14920717,pg,train,ok,-8.436097743810933,1.687219548762187,4.440892098500626e-16,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920723,pg,train,ok,-2.2051951263779443,2.2051951263779586,0.0,1,1,,,,,False,False,False
pg:scenarionet_v1:PGMap-14920734,pg,test,ok,-14.99327029239629,24.611741227779333,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920743,pg,train,ok,-10.152962425501237,2.0305924851002857,2.842170943040401e-14,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920787,pg,train,ok,-1.9243999123374076,9.621999561687138,5.329070518200751e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920792,pg,train,ok,-7.128024013851065,2.0395136347453993,9.325873406851315e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920796,pg,train,ok,-19.883441787352822,56.748005243311574,7.105427357601002e-15,1,2,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920803,pg,train,ok,-1.9183690682442793,1.9352585975291323,9.547918011776346e-15,1,1,,,,,False,False,False
pg:scenarionet_v1:PGMap-14920819,pg,train,ok,-5.276012613361288,3.061565415591046,1.7763568394002505e-15,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14920841,pg,train,ok,-7.649902119732218,1.5491447370384037,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920882,pg,test,ok,-4.581046711293311,23.21612456344883,0.0,2,2,7.379450640349191,-14.816365102973052,-11.960497351642502,LANE_SURFACE_UNSTRUCTURE,False,True,True
pg:scenarionet_v1:PGMap-14920892,pg,train,ok,-11.215358070615178,16.348863675861775,3.907985046680551e-14,2,2,0.01931341504107209,16.368177090902847,58.48463334688577,LANE_SURFACE_STREET|LANE_SURFACE_UNSTRUCTURE,False,True,True
pg:scenarionet_v1:PGMap-14920909,pg,train,ok,-2.1358228185340256,2.1691126159980567,3.1086244689504383e-15,2,2,0.012373514641413674,2.1814861306394704,16.74379725665345,LANE_SURFACE_STREET,False,False,False
pg:scenarionet_v1:PGMap-14920937,pg,train,ok,-2.0344383062946054,6.103314918883797,1.7763568394002505e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14920940,pg,train,ok,-9.009501151050742,1.8019002302101654,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14920958,pg,train,ok,-7.811555163004073,1.5623110326008032,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14921009,pg,train,ok,-5.312692725354246,21.03953945282488,7.105427357601002e-15,3,2,35.46383289041769,56.503372343242575,77.85091578446566,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-14921010,pg,train,ok,-5.380200053972672,1.7934000179908907,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14921012,pg,test,ok,-5.678048699590249,1.892682899863416,4.440892098500626e-16,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14921013,pg,train,ok,-9.699575943956532,1.9399151887913044,8.881784197001252e-16,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14921015,pg,train,ok,-5.229401113802003,5.229401113801985,4.440892098500626e-15,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-14921037,pg,test,ok,-1.4958776117466976,3.8573704067735712,5.10702591327572e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14921046,pg,train,ok,-5.691503503525924,10.11002256128981,1.7763568394002505e-15,4,2,0.025051908084961383,10.135074469374771,11.65607882831074,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-14921064,pg,train,ok,-1.740128794899241,8.700643974495973,3.4638958368304884e-14,2,2,5.124058116399973,-45.000000000000014,-6.864186911299214,LANE_SURFACE_STREET|LANE_SURFACE_UNSTRUCTURE,False,False,True
pg:scenarionet_v1:PGMap-14921070,pg,test,ok,-9.155782151943885,1.8311564303887697,3.774758283725532e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-14921077,pg,train,ok,-1.9678636978553925,9.839318489276948,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-14921083,pg,train,ok,-9.038343209195489,1.8076686418391015,8.881784197001252e-16,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920007,pg,train,ok,-1.875707456848147,5.6271223705443845,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-1920008,pg,train,ok,-7.93052172366087,1.5861043447321843,6.661338147750939e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920009,pg,train,ok,-5.453376580386163,1.8177921934620542,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920013,pg,train,ok,-5.486755329952418,1.8289184433174688,6.217248937900877e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920015,pg,train,ok,-5.057278886566706,1.6857596288555499,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920019,pg,train,ok,-6.576606716964335,2.1922022389881306,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920022,pg,train,ok,-2.2065974198322844,11.03298709916129,7.549516567451064e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-1920027,pg,train,ok,-5.875998455325634,5.875998455325637,6.217248937900877e-15,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-1920034,pg,train,ok,-1.8531523258124416,5.581869824956416,1.1546319456101628e-14,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-1920037,pg,train,ok,-4.812878278813815,1.6042927596046057,2.6645352591003757e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920039,pg,train,ok,-2.071790275778253,6.215370827334683,3.019806626980426e-14,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-1920043,pg,train,ok,-9.8221673864211,1.9644334772842171,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920048,pg,train,ok,-8.19032529775335,1.6380650595506796,1.0658141036401503e-14,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920057,pg,train,ok,-2.0265919044083063,6.079775713224905,0.0,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-1920059,pg,train,ok,-10.279805207483971,2.055961041496828,3.552713678800501e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920061,pg,train,ok,-6.617218650374256,2.205739550124748,8.881784197001252e-16,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920065,pg,train,ok,-6.0555004871228215,6.055500487122737,6.217248937900877e-15,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-1920070,pg,train,ok,-5.251981257241553,1.7506604190805182,4.440892098500626e-16,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-1920072,pg,train,ok,-5.4151253980423215,1.8050417993474106,3.552713678800501e-15,1,1,,,,,False,True,False
