scenario_uid,scenario_id,source,split,primary_arm,tags,topology,duration_steps,actor_density_q90,interactions,traffic_controls,lane_marking_coverage,conflict_zone_coverage,rulebook_applicability,expected_runtime_behavior,selection_reason,unavailable_dimensions,relative_path
pg:scenarionet_v1:PGMap-19921282,PGMap-19921282,pg,train,A1_traffic,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,2.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/19921282/sd_pg_scenarionet_v1_PGMap-19921282.pkl
pg:scenarionet_v1:PGMap-19920661,PGMap-19920661,pg,train,A2_junction,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,8.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/19920661/sd_pg_scenarionet_v1_PGMap-19920661.pkl
pg:scenarionet_v1:PGMap-19921620,PGMap-19921620,pg,train,A2_junction,has_merge_or_roundabout;has_vehicle_conflict,merge_or_roundabout,501,7.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/19921620/sd_pg_scenarionet_v1_PGMap-19921620.pkl
pg:scenarionet_v1:PGMap-24921451,PGMap-24921451,pg,train,A2_junction,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,3.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/24921451/sd_pg_scenarionet_v1_PGMap-24921451.pkl
pg:scenarionet_v1:PGMap-19920128,PGMap-19920128,pg,train,A2_junction,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,5.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/19920128/sd_pg_scenarionet_v1_PGMap-19920128.pkl
pg:scenarionet_v1:PGMap-14920455,PGMap-14920455,pg,train,A2_junction,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,10.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/14920455/sd_pg_scenarionet_v1_PGMap-14920455.pkl
pg:scenarionet_v1:PGMap-14920248,PGMap-14920248,pg,train,A2_junction,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,5.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/14920248/sd_pg_scenarionet_v1_PGMap-14920248.pkl
pg:scenarionet_v1:PGMap-19920019,PGMap-19920019,pg,train,A2_junction,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,6.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/19920019/sd_pg_scenarionet_v1_PGMap-19920019.pkl
pg:scenarionet_v1:PGMap-24921505,PGMap-24921505,pg,train,A2_junction,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,5.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/24921505/sd_pg_scenarionet_v1_PGMap-24921505.pkl
waymo:training_20s:632ee424a8a6f73b,632ee424a8a6f73b,waymo,train,A3_complex_junction,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_crosswalk;has_vehicle_conflict,intersection,199,43.0,vehicle_conflict,stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00512_00639/batch_00512_00639_6/sd_waymo_training_20s_632ee424a8a6f73b.pkl
waymo:training_20s:e189c875b850dcdf,e189c875b850dcdf,waymo,train,A3_complex_junction,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_crosswalk,intersection,199,39.0,none_in_catalog_metadata,stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00384_00511/batch_00384_00511_27/sd_waymo_training_20s_e189c875b850dcdf.pkl
waymo:training_20s:7107b522cf9789cf,7107b522cf9789cf,waymo,train,A3_complex_junction,has_dense_traffic;has_intersection;has_signalized_intersection;has_traffic_light;has_stop_sign;has_crosswalk,intersection,200,28.0,none_in_catalog_metadata,traffic_light;stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00000_00127/batch_00000_00127_18/sd_waymo_training_20s_7107b522cf9789cf.pkl
waymo:training_20s:31a49168aa5090d6,31a49168aa5090d6,waymo,train,A3_complex_junction,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_crosswalk;has_vehicle_conflict,intersection,199,24.0,vehicle_conflict,stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00000_00127/batch_00000_00127_5/sd_waymo_training_20s_31a49168aa5090d6.pkl
waymo:training_20s:1c3979b81163a85c,1c3979b81163a85c,waymo,train,A3_complex_junction,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_vehicle_conflict,intersection,199,24.0,vehicle_conflict,stop_sign,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00000_00127/batch_00000_00127_28/sd_waymo_training_20s_1c3979b81163a85c.pkl
waymo:training_20s:4e8d8bd0280b24c9,4e8d8bd0280b24c9,waymo,train,A3_complex_junction,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_vehicle_conflict,intersection,199,37.0,vehicle_conflict,stop_sign,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00512_00639/batch_00512_00639_6/sd_waymo_training_20s_4e8d8bd0280b24c9.pkl
waymo:training_20s:8c40429e97333cf7,8c40429e97333cf7,waymo,train,A3_complex_junction,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_vehicle_conflict,intersection,199,29.200000000000017,vehicle_conflict,stop_sign,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00640_00767/batch_00640_00767_28/sd_waymo_training_20s_8c40429e97333cf7.pkl
waymo:training_20s:9d41aec0002b80dd,9d41aec0002b80dd,waymo,train,A3_complex_junction,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_vehicle_conflict,intersection,199,23.0,vehicle_conflict,stop_sign,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00128_00255/batch_00128_00255_5/sd_waymo_training_20s_9d41aec0002b80dd.pkl
waymo:training_20s:1ed0480a5b6cc060,1ed0480a5b6cc060,waymo,train,A4_vru,has_dense_traffic;has_vru;has_vehicle_conflict;has_vru_conflict,simple,198,31.0,vehicle_conflict;vru_interaction,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00128_00255/batch_00128_00255_23/sd_waymo_training_20s_1ed0480a5b6cc060.pkl
waymo:training_20s:2f6459f1e83fe69e,2f6459f1e83fe69e,waymo,train,A4_vru,has_dense_traffic;has_vru;has_vehicle_conflict;has_vru_conflict,simple,199,24.0,vehicle_conflict;vru_interaction,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00640_00767/batch_00640_00767_5/sd_waymo_training_20s_2f6459f1e83fe69e.pkl
waymo:training_20s:e1ea31997f9a8cc8,e1ea31997f9a8cc8,waymo,train,A4_vru,has_dense_traffic;has_vru;has_vehicle_conflict;has_vru_conflict,simple,198,44.0,vehicle_conflict;vru_interaction,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00000_00127/batch_00000_00127_20/sd_waymo_training_20s_e1ea31997f9a8cc8.pkl
waymo:training_20s:3de6268803715b6d,3de6268803715b6d,waymo,train,A4_vru,has_dense_traffic;has_intersection;has_signalized_intersection;has_traffic_light;has_stop_sign;has_crosswalk;has_vru;has_vehicle_conflict,intersection,199,49.0,vehicle_conflict;vru_interaction,traffic_light;stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00384_00511/batch_00384_00511_13/sd_waymo_training_20s_3de6268803715b6d.pkl
waymo:training_20s:efc25189b771bca1,efc25189b771bca1,waymo,train,A4_vru,has_dense_traffic;has_intersection;has_signalized_intersection;has_traffic_light;has_stop_sign;has_crosswalk;has_vru;has_vehicle_conflict,intersection,198,31.0,vehicle_conflict;vru_interaction,traffic_light;stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00512_00639/batch_00512_00639_23/sd_waymo_training_20s_efc25189b771bca1.pkl
waymo:training_20s:8ee7a0789abea53,8ee7a0789abea53,waymo,train,A4_vru,has_dense_traffic;has_vru;has_vehicle_conflict;has_vru_conflict,simple,199,27.0,vehicle_conflict;vru_interaction,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00256_00383/batch_00256_00383_27/sd_waymo_training_20s_8ee7a0789abea53.pkl
waymo:training_20s:291725992f58f72f,291725992f58f72f,waymo,train,A4_vru,has_dense_traffic;has_vru;has_vehicle_conflict;has_vru_conflict,simple,198,27.0,vehicle_conflict;vru_interaction,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00512_00639/batch_00512_00639_13/sd_waymo_training_20s_291725992f58f72f.pkl
waymo:training_20s:88a596f3b0f3aee1,88a596f3b0f3aee1,waymo,train,A4_vru,has_dense_traffic;has_intersection;has_signalized_intersection;has_traffic_light;has_stop_sign;has_crosswalk;has_vru;has_vehicle_conflict,intersection,199,24.0,vehicle_conflict;vru_interaction,traffic_light;stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00256_00383/batch_00256_00383_1/sd_waymo_training_20s_88a596f3b0f3aee1.pkl
waymo:training_20s:9e49df8f3a360cdf,9e49df8f3a360cdf,waymo,train,A5_critical_mixed,has_dense_traffic;has_intersection;has_signalized_intersection;has_traffic_light;has_stop_sign;has_crosswalk;has_vru;has_vehicle_conflict;has_vru_conflict,intersection,200,29.0,vehicle_conflict;vru_interaction,traffic_light;stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00000_00127/batch_00000_00127_25/sd_waymo_training_20s_9e49df8f3a360cdf.pkl
waymo:training_20s:aec4311743e9158f,aec4311743e9158f,waymo,train,A5_critical_mixed,has_dense_traffic;has_intersection;has_signalized_intersection;has_traffic_light;has_stop_sign;has_crosswalk;has_vru;has_vehicle_conflict;has_vru_conflict,intersection,198,36.0,vehicle_conflict;vru_interaction,traffic_light;stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00512_00639/batch_00512_00639_17/sd_waymo_training_20s_aec4311743e9158f.pkl
waymo:training_20s:bcf1201797a09e9,bcf1201797a09e9,waymo,train,A5_critical_mixed,has_intersection;has_signalized_intersection;has_traffic_light;has_stop_sign;has_crosswalk;has_vru;has_vehicle_conflict;has_vru_conflict,intersection,199,20.0,vehicle_conflict;vru_interaction,traffic_light;stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00512_00639/batch_00512_00639_15/sd_waymo_training_20s_bcf1201797a09e9.pkl
waymo:training_20s:1533c5be2851538b,1533c5be2851538b,waymo,train,A5_critical_mixed,has_dense_traffic;has_intersection;has_signalized_intersection;has_traffic_light;has_stop_sign;has_crosswalk;has_vehicle_conflict;has_vru_conflict,intersection,199,35.0,vehicle_conflict;vru_interaction,traffic_light;stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00000_00127/batch_00000_00127_10/sd_waymo_training_20s_1533c5be2851538b.pkl
waymo:training_20s:5d62a4ad25af7d1a,5d62a4ad25af7d1a,waymo,train,A5_critical_mixed,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_crosswalk;has_vru;has_vehicle_conflict;has_vru_conflict,intersection,199,32.0,vehicle_conflict;vru_interaction,stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00128_00255/batch_00128_00255_14/sd_waymo_training_20s_5d62a4ad25af7d1a.pkl
waymo:training_20s:abb47e459beab9c,abb47e459beab9c,waymo,train,A5_critical_mixed,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_crosswalk;has_vru;has_vehicle_conflict;has_vru_conflict,intersection,199,42.0,vehicle_conflict;vru_interaction,stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00000_00127/batch_00000_00127_11/sd_waymo_training_20s_abb47e459beab9c.pkl
waymo:training_20s:143b5ff117b6d5ed,143b5ff117b6d5ed,waymo,train,A5_critical_mixed,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_crosswalk;has_vru;has_vehicle_conflict;has_vru_conflict,intersection,198,42.0,vehicle_conflict;vru_interaction,stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00512_00639/batch_00512_00639_31/sd_waymo_training_20s_143b5ff117b6d5ed.pkl
waymo:training_20s:23eb3a96bc381cb7,23eb3a96bc381cb7,waymo,train,A5_critical_mixed,has_dense_traffic;has_intersection;has_unsignalized_intersection;has_stop_sign;has_crosswalk;has_vru;has_vehicle_conflict;has_vru_conflict,intersection,198,38.0,vehicle_conflict;vru_interaction,stop_sign;crosswalk,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",waymo/database/batches/batch_00000_00127/batch_00000_00127_8/sd_waymo_training_20s_23eb3a96bc381cb7.pkl
