scenario_uid,source,primary_arm,relative_path,content_validation,description_length,track_count,map_feature_count,sdc_id,route_lane_count,map_feature_types,actual_traffic_controls,actual_lane_markings
pg:scenarionet_v1:PGMap-24921451,pg,A2_junction,pg/database/P5_complex_mixed/24921451/sd_pg_scenarionet_v1_PGMap-24921451.pkl,pass,501,26,131,964d81a7-2b1a-4940-a177-54c091f775e8,6,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-19920128,pg,A2_junction,pg/database/P5_complex_mixed/19920128/sd_pg_scenarionet_v1_PGMap-19920128.pkl,pass,501,25,212,7033544c-0f21-433a-9cb7-f1cd859e8dc2,7,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-14920455,pg,A2_junction,pg/database/P5_complex_mixed/14920455/sd_pg_scenarionet_v1_PGMap-14920455.pkl,pass,501,23,163,2b7014fb-f158-4f59-a065-dfa6de72b23a,4,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-14920248,pg,A2_junction,pg/database/P5_complex_mixed/14920248/sd_pg_scenarionet_v1_PGMap-14920248.pkl,pass,501,22,154,03e83197-6673-48a2-a8cc-ec6f0ac94986,5,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-19920019,pg,A2_junction,pg/database/P5_complex_mixed/19920019/sd_pg_scenarionet_v1_PGMap-19920019.pkl,pass,501,22,111,f3dfb2cd-abd8-4599-a38c-a247a25d0be9,4,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-24921505,pg,A2_junction,pg/database/P5_complex_mixed/24921505/sd_pg_scenarionet_v1_PGMap-24921505.pkl,pass,501,21,131,f4b8268e-e1f6-47d0-93ca-4ae37f104297,4,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
waymo:training_20s:632ee424a8a6f73b,waymo,A3_complex_junction,waymo/database/batches/batch_00512_00639/batch_00512_00639_6/sd_waymo_training_20s_632ee424a8a6f73b.pkl,pass,199,103,170,292,1,CROSSWALK;DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;ROAD_EDGE_BOUNDARY;ROAD_EDGE_MEDIAN;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW;STOP_SIGN,CROSSWALK;STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
waymo:training_20s:e189c875b850dcdf,waymo,A3_complex_junction,waymo/database/batches/batch_00384_00511/batch_00384_00511_27/sd_waymo_training_20s_e189c875b850dcdf.pkl,pass,199,113,229,550,3,CROSSWALK;DRIVEWAY;LANE_SURFACE_STREET;ROAD_EDGE_BOUNDARY;ROAD_EDGE_MEDIAN;ROAD_LINE_PASSING_DOUBLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;SPEED_BUMP;STOP_SIGN,CROSSWALK;STOP_SIGN,ROAD_LINE_PASSING_DOUBLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE
waymo:training_20s:7107b522cf9789cf,waymo,A3_complex_junction,waymo/database/batches/batch_00000_00127/batch_00000_00127_18/sd_waymo_training_20s_7107b522cf9789cf.pkl,pass,200,107,433,1598,8,CROSSWALK;DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;ROAD_EDGE_BOUNDARY;ROAD_EDGE_MEDIAN;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;SPEED_BUMP;STOP_SIGN,CROSSWALK;STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE
waymo:training_20s:31a49168aa5090d6,waymo,A3_complex_junction,waymo/database/batches/batch_00000_00127/batch_00000_00127_5/sd_waymo_training_20s_31a49168aa5090d6.pkl,pass,199,94,115,2016,1,CROSSWALK;DRIVEWAY;LANE_SURFACE_STREET;ROAD_EDGE_BOUNDARY;ROAD_LINE_BROKEN_SINGLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;SPEED_BUMP;STOP_SIGN,CROSSWALK;STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW
waymo:training_20s:1c3979b81163a85c,waymo,A3_complex_junction,waymo/database/batches/batch_00000_00127/batch_00000_00127_28/sd_waymo_training_20s_1c3979b81163a85c.pkl,pass,199,106,551,728,7,CROSSWALK;DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;ROAD_EDGE_BOUNDARY;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_PASSING_DOUBLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;SPEED_BUMP;STOP_SIGN,CROSSWALK;STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_PASSING_DOUBLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE
waymo:training_20s:4e8d8bd0280b24c9,waymo,A3_complex_junction,waymo/database/batches/batch_00512_00639/batch_00512_00639_6/sd_waymo_training_20s_4e8d8bd0280b24c9.pkl,pass,199,111,336,2929,4,CROSSWALK;DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;LANE_UNKNOWN;ROAD_EDGE_BOUNDARY;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_PASSING_DOUBLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;SPEED_BUMP;STOP_SIGN,CROSSWALK;STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_PASSING_DOUBLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE
waymo:training_20s:8c40429e97333cf7,waymo,A3_complex_junction,waymo/database/batches/batch_00640_00767/batch_00640_00767_28/sd_waymo_training_20s_8c40429e97333cf7.pkl,pass,199,103,117,1218,1,DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;ROAD_EDGE_BOUNDARY;ROAD_EDGE_MEDIAN;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;SPEED_BUMP;STOP_SIGN,STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE
waymo:training_20s:9d41aec0002b80dd,waymo,A3_complex_junction,waymo/database/batches/batch_00128_00255/batch_00128_00255_5/sd_waymo_training_20s_9d41aec0002b80dd.pkl,pass,199,112,352,2766,5,CROSSWALK;DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;ROAD_EDGE_BOUNDARY;ROAD_EDGE_MEDIAN;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_PASSING_DOUBLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW;SPEED_BUMP;STOP_SIGN,CROSSWALK;STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_PASSING_DOUBLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
waymo:training_20s:1ed0480a5b6cc060,waymo,A4_vru,waymo/database/batches/batch_00128_00255/batch_00128_00255_23/sd_waymo_training_20s_1ed0480a5b6cc060.pkl,pass,198,79,65,3302,1,DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;LANE_UNKNOWN;ROAD_EDGE_BOUNDARY;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;SPEED_BUMP,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE
waymo:training_20s:2f6459f1e83fe69e,waymo,A4_vru,waymo/database/batches/batch_00640_00767/batch_00640_00767_5/sd_waymo_training_20s_2f6459f1e83fe69e.pkl,pass,199,77,82,2797,1,DRIVEWAY;LANE_SURFACE_STREET;LANE_UNKNOWN;ROAD_EDGE_BOUNDARY;ROAD_EDGE_MEDIAN;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_BROKEN_SINGLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;SPEED_BUMP;STOP_SIGN,STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_BROKEN_SINGLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW
waymo:training_20s:e1ea31997f9a8cc8,waymo,A4_vru,waymo/database/batches/batch_00000_00127/batch_00000_00127_20/sd_waymo_training_20s_e1ea31997f9a8cc8.pkl,pass,198,76,76,1899,1,DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;ROAD_EDGE_BOUNDARY;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE
waymo:training_20s:3de6268803715b6d,waymo,A4_vru,waymo/database/batches/batch_00384_00511/batch_00384_00511_13/sd_waymo_training_20s_3de6268803715b6d.pkl,pass,199,120,275,839,3,CROSSWALK;DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;LANE_UNKNOWN;ROAD_EDGE_BOUNDARY;ROAD_EDGE_MEDIAN;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_BROKEN_SINGLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW;SPEED_BUMP;STOP_SIGN,CROSSWALK;STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_BROKEN_SINGLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
waymo:training_20s:efc25189b771bca1,waymo,A4_vru,waymo/database/batches/batch_00512_00639/batch_00512_00639_23/sd_waymo_training_20s_efc25189b771bca1.pkl,pass,198,120,219,1563,1,CROSSWALK;DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;LANE_UNKNOWN;ROAD_EDGE_BOUNDARY;ROAD_EDGE_MEDIAN;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW;SPEED_BUMP;STOP_SIGN,CROSSWALK;STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
waymo:training_20s:8ee7a0789abea53,waymo,A4_vru,waymo/database/batches/batch_00256_00383/batch_00256_00383_27/sd_waymo_training_20s_8ee7a0789abea53.pkl,pass,199,69,150,97,1,CROSSWALK;DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;LANE_UNKNOWN;ROAD_EDGE_BOUNDARY;ROAD_EDGE_MEDIAN;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;SPEED_BUMP,CROSSWALK,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE
waymo:training_20s:291725992f58f72f,waymo,A4_vru,waymo/database/batches/batch_00512_00639/batch_00512_00639_13/sd_waymo_training_20s_291725992f58f72f.pkl,pass,198,67,260,5647,1,DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;ROAD_EDGE_BOUNDARY;ROAD_EDGE_MEDIAN;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;SPEED_BUMP;STOP_SIGN,STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE
waymo:training_20s:88a596f3b0f3aee1,waymo,A4_vru,waymo/database/batches/batch_00256_00383/batch_00256_00383_1/sd_waymo_training_20s_88a596f3b0f3aee1.pkl,pass,199,91,361,115,3,CROSSWALK;DRIVEWAY;LANE_BIKE_LANE;LANE_SURFACE_STREET;ROAD_EDGE_BOUNDARY;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_BROKEN_SINGLE_YELLOW;ROAD_LINE_PASSING_DOUBLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;SPEED_BUMP;STOP_SIGN,CROSSWALK;STOP_SIGN,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_BROKEN_SINGLE_YELLOW;ROAD_LINE_PASSING_DOUBLE_YELLOW;ROAD_LINE_SOLID_DOUBLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE
