scenario_uid,source,split,topology_tag,route_length_m,corridor_m,corridor_share_of_route,corridor_channel_units,corridor_offset_m,entry_gap_m,gate_length_m,corridor_lane_types,fold_needs_planar_m,fold_jump_channel_units,reach_covers_fold
waymo:training_20s:32e7aab8dfaf6a4f,waymo,test,merge_or_roundabout,356.96,54.0,0.1513,24.3,-11.922,1.8118,10.68,LANE_SURFACE_STREET,356.89,159.6,False
waymo:training_20s:6508fb91f692576f,waymo,validation,intersection,80.46,54.0,0.6712,24.3,51.537,0.1743,3.62,LANE_SURFACE_STREET,79.99,35.1,True
waymo:training_20s:a4d495cb861a64c,waymo,train,intersection,77.69,54.0,0.6951,24.3,-8.074,0.1185,9.89,LANE_SURFACE_STREET,77.24,33.76,False
waymo:training_20s:ca0e5c4b3718575,waymo,train,intersection,87.71,54.0,0.6156,24.3,-5.155,0.1218,13.85,LANE_SURFACE_STREET,87.36,38.31,False
waymo:training_20s:219badce7690fe72,waymo,test,intersection,52.13,52.1,0.9994,23.44,-11.527,1.5916,13.35,LANE_SURFACE_STREET,51.67,22.25,False
waymo:training_20s:631963e838c8e540,waymo,test,intersection,66.46,52.0,0.7824,23.4,-23.275,1.1598,16.51,LANE_SURFACE_STREET,65.78,28.78,False
waymo:training_20s:9839d0a415312e60,waymo,train,intersection,51.26,51.27,1.0002,23.07,11.507,1.4118,4.02,LANE_SURFACE_STREET,51.1,22.0,False
waymo:training_20s:b5235f8e1df15ec0,waymo,train,intersection,107.3,51.0,0.4753,22.95,-11.82,1.6259,108.33,LANE_SURFACE_STREET,106.86,47.09,False
waymo:training_20s:5fdf1a22c0e5a1ff,waymo,train,intersection,50.91,50.86,0.9989,22.89,-8.144,1.5522,13.29,LANE_SURFACE_STREET,50.4,21.68,False
waymo:training_20s:bf426cc8c0cf7488,waymo,train,intersection,178.89,48.0,0.2683,21.6,-8.359,0.4193,15.15,LANE_SURFACE_STREET,178.38,79.27,False
pg:scenarionet_v1:PGMap-29920363,pg,train,merge_or_roundabout,141.96,47.0,0.3311,21.15,-11.36,0.0128,6.67,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:5040bfca8d33885,waymo,test,intersection,55.54,47.0,0.8462,21.15,-15.862,0.0447,14.04,LANE_SURFACE_STREET,55.1,23.79,False
waymo:training_20s:df9e1b10f1e7f728,waymo,test,intersection,51.25,47.0,0.917,21.15,-15.806,0.0382,14.04,LANE_SURFACE_STREET,51.17,22.03,False
waymo:training_20s:7df4654a5c8fdbf9,waymo,train,simple,46.73,46.66,0.9986,21.0,8.646,0.1188,13.64,LANE_SURFACE_STREET,46.66,20.0,False
waymo:training_20s:4068b443db072824,waymo,test,intersection,46.36,46.33,0.9995,20.85,-12.423,1.4426,17.23,LANE_SURFACE_STREET,45.84,19.63,False
pg:scenarionet_v1:PGMap-24920241,pg,train,merge_or_roundabout,163.39,46.0,0.2815,20.7,-11.878,0.0127,10.78,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:43edec37bd283ede,waymo,test,simple,45.43,45.37,0.9988,20.42,5.351,0.0625,13.63,LANE_SURFACE_STREET,45.35,19.41,False
waymo:training_20s:2e05cff03e6cb3ce,waymo,test,simple,133.67,45.0,0.3366,20.25,-9.159,1.0279,100.62,LANE_SURFACE_STREET,132.99,58.91,False
waymo:training_20s:c5ade58a981c3f57,waymo,train,intersection,148.66,45.0,0.3027,20.25,-12.124,0.1838,14.58,LANE_SURFACE_STREET,148.54,65.85,False
waymo:training_20s:c553b6dc813ec6e3,waymo,train,intersection,44.05,44.01,0.9991,19.8,8.806,0.5136,10.04,LANE_SURFACE_STREET,43.97,18.79,False
pg:scenarionet_v1:PGMap-9920227,pg,train,mixed,134.05,44.0,0.3282,19.8,-13.733,0.0294,9.04,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:dab1b76080f06d3b,waymo,test,intersection,45.18,44.0,0.9738,19.8,-7.84,0.5141,16.29,LANE_SURFACE_STREET,44.8,19.16,False
waymo:training_20s:60c54f758a7785c7,waymo,train,intersection,43.35,43.3,0.9989,19.48,-5.147,1.4466,101.72,LANE_SURFACE_STREET,42.95,18.33,False
waymo:training_20s:130769153f4caa9,waymo,train,intersection,145.23,43.0,0.2961,19.35,-7.837,0.1668,10.46,LANE_SURFACE_STREET,145.08,64.29,False
waymo:training_20s:229baa9cba45c7a3,waymo,train,intersection,186.72,43.0,0.2303,19.35,-9.238,1.8512,13.79,LANE_SURFACE_STREET,186.49,82.93,False
waymo:training_20s:c5d7a3e51ec72721,waymo,validation,intersection,42.2,42.18,0.9997,18.98,9.831,1.5946,3.17,LANE_SURFACE_STREET,42.08,17.93,False
waymo:training_20s:9a2aee18d1ce8eb3,waymo,test,intersection,165.16,42.0,0.2543,18.9,-8.284,1.5208,9.88,LANE_SURFACE_STREET,164.91,73.21,False
waymo:training_20s:ef713236bfb70f40,waymo,validation,simple,62.71,42.0,0.6697,18.9,-10.51,0.0394,4.01,LANE_SURFACE_STREET,62.46,27.12,False
waymo:training_20s:3595a5699c0008db,waymo,test,intersection,42.05,41.98,0.9985,18.89,-12.198,1.5924,14.76,LANE_SURFACE_STREET,41.82,17.82,False
pg:scenarionet_v1:PGMap-6000192,pg,train,mixed,153.5,41.0,0.2671,18.45,-12.875,0.0125,12.28,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:323293113d60a9c2,waymo,test,intersection,102.82,41.0,0.3988,18.45,6.109,0.3645,10.6,LANE_SURFACE_STREET,102.36,45.06,False
waymo:training_20s:dea51d710fcda412,waymo,test,intersection,86.28,41.0,0.4752,18.45,6.107,0.3602,10.6,LANE_SURFACE_STREET,86.06,37.73,False
waymo:training_20s:f9cb1b3d417d3cb9,waymo,train,intersection,40.59,40.54,0.9986,18.24,-16.501,1.5852,14.76,LANE_SURFACE_STREET,40.2,17.09,False
waymo:training_20s:55fd7cba7a0c29df,waymo,train,intersection,40.19,40.15,0.9989,18.07,-7.614,1.3874,9.84,LANE_SURFACE_STREET,39.95,16.98,False
waymo:training_20s:38544995600767b8,waymo,train,simple,183.22,40.0,0.2183,18.0,-5.241,0.1284,14.09,LANE_SURFACE_STREET,182.86,81.29,False
waymo:training_20s:ea0ce76a809f8aac,waymo,train,intersection,39.8,39.79,0.9998,17.91,-12.223,1.4069,108.91,LANE_SURFACE_STREET,39.66,16.85,False
waymo:training_20s:a6985e0d106c3c14,waymo,validation,merge_or_roundabout,39.76,39.73,0.9993,17.88,-8.486,1.466,10.68,LANE_SURFACE_STREET,39.57,16.81,False
pg:scenarionet_v1:PGMap-4000184,pg,train,merge_or_roundabout,197.93,39.0,0.197,17.55,-14.944,0.013,10.26,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:fc1c66336631d264,waymo,train,simple,38.54,38.47,0.9984,17.31,-8.701,1.1418,95.79,LANE_SURFACE_STREET,38.41,16.29,False
pg:scenarionet_v1:PGMap-14920522,pg,train,merge_or_roundabout,137.16,38.0,0.277,17.1,-8.857,0.0399,12.51,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:fe2ff2471f1df2a7,waymo,validation,intersection,37.27,37.26,0.9998,16.77,-15.555,1.4982,105.53,LANE_SURFACE_STREET,36.97,15.64,False
waymo:training_20s:f0d97c949ccc3646,waymo,train,merge_or_roundabout,53.99,37.0,0.6854,16.65,-5.056,1.5539,43.35,LANE_SURFACE_STREET,53.6,23.12,False
waymo:training_20s:1ea6d7bf83017391,waymo,validation,intersection,36.85,36.79,0.9984,16.56,-5.546,1.7664,101.66,LANE_SURFACE_STREET,36.52,15.43,False
waymo:training_20s:b66e1a91a9de0380,waymo,test,intersection,36.53,36.49,0.9988,16.42,12.625,0.6224,10.58,LANE_SURFACE_STREET,36.29,15.33,False
pg:scenarionet_v1:PGMap-19920648,pg,train,merge_or_roundabout,203.35,36.0,0.177,16.2,-11.676,0.0113,6.99,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:3828a8d89bd04543,waymo,train,merge_or_roundabout,94.15,36.0,0.3824,16.2,-5.234,0.0573,90.4,LANE_SURFACE_STREET,93.99,41.29,False
waymo:training_20s:bcf1201797a09e9,waymo,test,intersection,44.81,36.0,0.8034,16.2,10.394,0.6695,4.39,LANE_SURFACE_STREET,43.95,19.24,False
waymo:training_20s:cbbb1970212df555,waymo,test,intersection,37.68,36.0,0.9555,16.2,-4.972,0.1912,77.03,LANE_SURFACE_STREET,37.15,15.72,False
waymo:training_20s:16c4bb209b57dcac,waymo,train,intersection,35.61,35.55,0.9985,16.0,7.637,1.5815,3.3,LANE_SURFACE_STREET,35.4,14.93,False
waymo:training_20s:60abc1640b389234,waymo,test,intersection,75.88,35.0,0.4612,15.75,4.016,0.0271,11.31,LANE_SURFACE_STREET,75.54,33.01,False
waymo:training_20s:1fb03a290addd4d2,waymo,test,intersection,34.62,34.59,0.9991,15.56,-8.183,1.6504,14.97,LANE_SURFACE_STREET,34.55,14.55,False
waymo:training_20s:31c06313362b13db,waymo,train,intersection,34.57,34.52,0.9986,15.53,-11.313,1.4103,9.74,LANE_SURFACE_STREET,34.26,14.42,False
pg:scenarionet_v1:PGMap-7920314,pg,train,merge_or_roundabout,392.21,34.0,0.0867,15.3,-8.55,0.0139,11.59,LANE_SURFACE_STREET,303.8,175.0,False
waymo:training_20s:95bc2bbbb70b2a50,waymo,train,simple,94.04,34.0,0.3615,15.3,65.962,0.9527,15.11,LANE_SURFACE_STREET,93.78,41.22,True
waymo:training_20s:8efa72d89b3a3617,waymo,train,merge_or_roundabout,33.56,33.52,0.9989,15.09,-11.097,1.2481,25.52,LANE_SURFACE_STREET,33.46,14.06,False
pg:scenarionet_v1:PGMap-4000358,pg,validation,merge_or_roundabout,387.5,33.0,0.0852,14.85,-8.965,0.0124,8.55,LANE_SURFACE_STREET,299.56,172.28,False
pg:scenarionet_v1:PGMap-4920202,pg,train,merge_or_roundabout,202.56,33.0,0.1629,14.85,-12.922,0.0408,8.23,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:1338a2377de035ed,waymo,test,intersection,73.93,33.0,0.4464,14.85,-11.747,0.1675,103.55,LANE_SURFACE_STREET,73.66,32.15,False
waymo:training_20s:2a6bdb5319d22e2b,waymo,test,intersection,39.12,33.0,0.8435,14.85,-8.732,1.8286,12.66,LANE_SURFACE_STREET,38.91,16.51,False
waymo:training_20s:65f03047694419bc,waymo,train,intersection,62.48,33.0,0.5281,14.85,-4.978,0.3013,6.14,LANE_SURFACE_STREET,62.04,26.92,False
waymo:training_20s:78fa82ba06dc5a,waymo,train,intersection,37.06,33.0,0.8905,14.85,6.992,0.0124,6.87,LANE_SURFACE_STREET,36.9,15.6,False
waymo:training_20s:9fc507edc4a6dbe4,waymo,test,intersection,39.69,33.0,0.8314,14.85,-8.733,1.8339,12.66,LANE_SURFACE_STREET,39.46,16.76,False
waymo:training_20s:e7759dd9063577b8,waymo,validation,merge_or_roundabout,292.98,33.0,0.1126,14.85,11.41,0.0228,4.3,LANE_FREEWAY,292.82,130.78,False
waymo:training_20s:a91b22a1208dd56f,waymo,test,intersection,32.54,32.5,0.9986,14.62,-4.78,1.2367,9.89,LANE_SURFACE_STREET,32.1,13.44,False
waymo:training_20s:6ebbd3c826cf9eda,waymo,test,simple,128.83,32.0,0.2484,14.4,-12.393,0.126,101.42,LANE_SURFACE_STREET,128.49,56.82,False
waymo:training_20s:8af6a78dbd958d0b,waymo,validation,intersection,60.67,32.0,0.5275,14.4,-4.818,1.6841,77.4,LANE_SURFACE_STREET,60.38,26.17,False
waymo:training_20s:9aa584dd2bb7fb68,waymo,test,merge_or_roundabout,112.55,32.0,0.2843,14.4,47.997,0.0168,10.15,LANE_SURFACE_STREET,112.16,49.47,False
waymo:training_20s:a9357df9a5aa15f4,waymo,test,intersection,34.46,32.0,0.9287,14.4,6.003,0.0824,10.45,LANE_SURFACE_STREET,34.24,14.41,False
waymo:training_20s:e5c20e2ccc9da8a1,waymo,test,intersection,216.96,32.0,0.1475,14.4,8.703,0.0177,6.86,LANE_SURFACE_STREET,216.88,96.62,False
waymo:training_20s:b81db0f8f793211e,waymo,train,simple,37.83,31.0,0.8195,13.95,-37.233,0.0771,23.32,LANE_SURFACE_STREET,37.47,15.86,True
waymo:training_20s:d04c4e5afff51696,waymo,train,intersection,30.73,30.69,0.9985,13.81,-7.499,0.3347,87.56,LANE_SURFACE_STREET,30.3,12.63,False
waymo:training_20s:efc25189b771bca1,waymo,test,intersection,30.2,30.2,0.9998,13.59,-4.909,1.5397,14.44,LANE_SURFACE_STREET,29.63,12.48,False
pg:scenarionet_v1:PGMap-24921457,pg,train,merge_or_roundabout,129.49,30.0,0.2317,13.5,-8.04,0.0104,10.35,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:87db55a9a18a0079,waymo,train,merge_or_roundabout,89.32,30.0,0.3359,13.5,8.609,0.0768,6.85,LANE_SURFACE_STREET,89.25,39.17,False
waymo:training_20s:e477b9ee86a7d9db,waymo,validation,intersection,73.75,30.0,0.4068,13.5,-46.308,0.065,3.88,LANE_SURFACE_STREET,67.75,32.27,True
waymo:training_20s:8d3c7e9794b5b4c8,waymo,train,intersection,29.69,29.63,0.9983,13.34,-7.554,1.1322,9.9,LANE_SURFACE_STREET,29.35,12.21,False
waymo:training_20s:28675a8abd6838f2,waymo,train,simple,48.09,28.0,0.5822,12.6,-12.038,0.2937,69.39,LANE_SURFACE_STREET,47.9,20.56,False
waymo:training_20s:4de0b8a60331a2b9,waymo,test,intersection,106.59,28.0,0.2627,12.6,-14.883,0.0463,3.41,LANE_SURFACE_STREET,106.15,46.77,False
waymo:training_20s:69ef5402fc2779ae,waymo,train,simple,41.27,28.0,0.6784,12.6,-12.268,0.2473,78.14,LANE_SURFACE_STREET,41.01,17.45,False
waymo:training_20s:71f5dfdd8f4417bf,waymo,test,intersection,27.87,27.82,0.9981,12.52,-12.439,1.3888,17.24,LANE_SURFACE_STREET,27.43,11.34,False
waymo:training_20s:83fdcf5d74dc4428,waymo,train,intersection,27.7,27.65,0.998,12.44,-14.566,1.2295,76.0,LANE_SURFACE_STREET,27.27,11.27,True
waymo:training_20s:ee034556dd22665e,waymo,test,intersection,88.68,27.0,0.3045,12.15,3.838,0.0271,11.41,LANE_SURFACE_STREET,88.44,38.83,False
waymo:training_20s:96420deb4741df5,waymo,test,intersection,26.91,26.88,0.999,12.1,-7.975,1.4849,10.5,LANE_SURFACE_STREET,26.45,10.9,False
waymo:training_20s:41f5852ba2504994,waymo,train,intersection,26.35,26.3,0.9983,11.84,-11.442,1.5003,13.64,LANE_SURFACE_STREET,26.17,10.77,False
waymo:training_20s:1b025aab528b5b57,waymo,train,intersection,63.77,26.0,0.4077,11.7,-14.14,0.1048,3.43,LANE_SURFACE_STREET,63.57,27.61,False
waymo:training_20s:665727e366d4f004,waymo,test,merge_or_roundabout,36.89,26.0,0.7047,11.7,42.082,0.1803,27.25,LANE_SURFACE_STREET,36.63,15.48,True
waymo:training_20s:8a797db9154f27e1,waymo,test,intersection,307.09,26.0,0.0847,11.7,-12.536,0.223,103.71,LANE_SURFACE_STREET,306.7,137.01,False
waymo:training_20s:e67b27ca6677b990,waymo,train,intersection,25.45,25.4,0.9981,11.43,-7.973,1.4982,96.2,LANE_SURFACE_STREET,25.16,10.32,False
pg:scenarionet_v1:PGMap-19920278,pg,train,mixed,195.31,25.0,0.128,11.25,-12.884,0.0223,8.86,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:2b336ea8deadf834,waymo,test,intersection,115.61,25.0,0.2162,11.25,-11.953,0.1562,9.87,LANE_SURFACE_STREET,115.27,50.88,False
waymo:training_20s:230342fd670af8ab,waymo,test,intersection,24.83,24.81,0.9994,11.17,-4.715,1.517,9.84,LANE_SURFACE_STREET,24.71,10.12,False
waymo:training_20s:c41eaf486808758,waymo,train,intersection,24.48,24.47,0.9993,11.01,-11.264,0.7545,55.87,LANE_SURFACE_STREET,24.09,9.84,True
waymo:training_20s:3d12e341d60ba241,waymo,test,simple,24.3,24.25,0.9981,10.91,-8.105,1.2773,10.02,LANE_SURFACE_STREET,24.18,9.88,False
waymo:training_20s:7d86309895a23fe6,waymo,validation,intersection,24.23,24.18,0.9981,10.88,-12.2,1.4658,10.77,LANE_SURFACE_STREET,24.0,9.8,True
pg:scenarionet_v1:PGMap-29920281,pg,train,mixed,181.15,24.0,0.1325,10.8,-14.351,0.0207,10.52,LANE_SURFACE_STREET,139.57,79.97,False
waymo:training_20s:1389455e780d7f0b,waymo,train,intersection,34.75,24.0,0.6907,10.8,-5.819,0.1106,6.73,LANE_SURFACE_STREET,34.41,14.49,False
waymo:training_20s:c6b525dfe4f395e5,waymo,validation,intersection,135.71,24.0,0.1769,10.8,-8.485,0.2962,85.78,LANE_SURFACE_STREET,135.64,60.04,False
waymo:training_20s:c9449fd2ac1230e,waymo,test,intersection,23.69,23.64,0.9979,10.64,-11.362,1.2536,16.32,LANE_SURFACE_STREET,23.29,9.48,True
waymo:training_20s:cb034216c4c21e2c,waymo,train,merge_or_roundabout,23.56,23.5,0.9976,10.57,-15.014,1.6767,80.63,LANE_SURFACE_STREET,23.22,9.45,True
waymo:training_20s:cc70a6d945a4afff,waymo,test,simple,118.58,23.0,0.194,10.35,-5.031,1.2668,59.62,LANE_SURFACE_STREET,118.46,52.31,False
waymo:training_20s:c8431f0cb4fca240,waymo,train,merge_or_roundabout,22.87,22.83,0.9982,10.27,-7.658,1.2932,9.81,LANE_SURFACE_STREET,22.67,9.2,False
waymo:training_20s:dca93b6297d62f12,waymo,train,intersection,22.48,22.43,0.9979,10.1,-14.219,1.1184,3.42,LANE_SURFACE_STREET,21.96,8.88,True
waymo:training_20s:395e3cd0314e1561,waymo,train,intersection,22.17,22.11,0.9974,9.95,-4.798,1.5971,89.77,LANE_SURFACE_STREET,21.63,8.73,False
waymo:training_20s:4d1cb37e439ef116,waymo,test,simple,67.45,22.0,0.3262,9.9,47.54,0.5997,15.19,LANE_SURFACE_STREET,66.98,29.15,True
waymo:training_20s:27cce46bdadd4c25,waymo,train,intersection,21.07,21.04,0.9986,9.47,-7.996,1.1706,10.18,LANE_SURFACE_STREET,20.82,8.37,False
pg:scenarionet_v1:PGMap-29921407,pg,train,mixed,330.97,21.0,0.0634,9.45,-15.797,0.0385,12.41,LANE_SURFACE_STREET,231.75,147.56,False
waymo:training_20s:d11171e2f830e143,waymo,train,intersection,118.29,21.0,0.1775,9.45,-7.746,0.4283,10.67,LANE_SURFACE_STREET,118.14,52.16,False
waymo:training_20s:a2742926c41e9794,waymo,test,merge_or_roundabout,20.94,20.92,0.999,9.41,-12.012,1.5392,10.38,LANE_SURFACE_STREET,20.71,8.32,True
waymo:training_20s:9c17492ed01320f8,waymo,train,simple,19.47,19.42,0.9976,8.74,-8.102,1.2675,16.27,LANE_SURFACE_STREET,19.29,7.68,False
waymo:training_20s:b6bfc23c522d65d1,waymo,train,simple,19.51,19.4,0.9941,8.73,-14.732,0.9347,65.24,LANE_SURFACE_STREET,18.9,7.51,True
waymo:training_20s:d6daac483f432f29,waymo,train,intersection,19.15,19.13,0.9991,8.61,-11.108,1.8153,6.38,LANE_SURFACE_STREET,18.88,7.5,True
waymo:training_20s:a351e215c0ec683,waymo,test,intersection,19.1,19.05,0.9972,8.57,-11.527,1.6297,13.29,LANE_SURFACE_STREET,18.9,7.5,True
pg:scenarionet_v1:PGMap-19920730,pg,train,mixed,111.73,19.0,0.17,8.55,-15.229,0.038,12.19,LANE_SURFACE_STREET,0.0,-1.0,True
waymo:training_20s:760d1254c23f7046,waymo,train,intersection,46.17,19.0,0.4115,8.55,-3.549,0.0824,3.3,LANE_SURFACE_STREET,45.89,19.65,False
waymo:training_20s:c9672501a2509102,waymo,train,simple,45.95,19.0,0.4135,8.55,48.884,1.3756,14.84,LANE_FREEWAY,45.48,19.46,True
waymo:training_20s:5bcfe76645d31a72,waymo,train,intersection,19.0,18.95,0.9974,8.53,-14.565,1.2241,76.2,LANE_SURFACE_STREET,18.7,7.41,True
waymo:training_20s:fd159a092694ce39,waymo,train,intersection,18.97,18.91,0.997,8.51,-11.101,1.2928,41.03,LANE_SURFACE_STREET,18.71,7.42,True
waymo:training_20s:ea3d7652e176db96,waymo,test,simple,18.77,18.74,0.9986,8.43,-11.48,1.2627,10.03,LANE_SURFACE_STREET,18.34,7.25,True
waymo:training_20s:165fac7d0933dee9,waymo,validation,merge_or_roundabout,18.42,18.41,0.999,8.28,23.587,0.0342,10.16,LANE_SURFACE_STREET,17.91,7.06,True
waymo:training_20s:360d8f8d714b09c8,waymo,test,intersection,18.17,18.12,0.997,8.15,-12.2,1.4578,10.77,LANE_SURFACE_STREET,18.09,7.14,True
waymo:training_20s:83232b5d420b2d49,waymo,train,simple,18.1,18.03,0.9961,8.11,5.467,1.2828,13.66,LANE_SURFACE_STREET,17.96,7.08,False
waymo:training_20s:36fde754a79b1aed,waymo,test,intersection,46.39,18.0,0.388,8.1,-7.877,0.562,44.72,LANE_SURFACE_STREET,46.05,19.72,False
waymo:training_20s:99febdf3bd786928,waymo,test,intersection,37.44,18.0,0.4808,8.1,3.844,0.0283,7.13,LANE_SURFACE_STREET,37.22,15.75,False
waymo:training_20s:cd344e1d7fc7c4f5,waymo,train,intersection,39.76,18.0,0.4527,8.1,-4.979,0.4902,5.05,LANE_SURFACE_STREET,39.62,16.83,False
waymo:training_20s:d6f6ab4992915b13,waymo,test,intersection,17.47,17.42,0.9972,7.84,-11.287,1.1835,9.9,LANE_SURFACE_STREET,17.29,6.78,True
waymo:training_20s:3cd7a94067acc46f,waymo,test,intersection,17.26,17.22,0.9976,7.75,-11.813,1.3968,108.39,LANE_SURFACE_STREET,16.83,6.57,True
waymo:training_20s:a1a8352592a92a1a,waymo,validation,intersection,16.64,16.59,0.9969,7.46,-8.671,1.8076,74.06,LANE_SURFACE_STREET,16.33,6.35,True
waymo:training_20s:d7c988f571e67da1,waymo,train,intersection,16.59,16.54,0.9969,7.44,-16.375,1.4738,14.66,LANE_SURFACE_STREET,16.43,6.39,True
waymo:training_20s:ba26be912aaac994,waymo,validation,intersection,16.47,16.42,0.9971,7.39,-11.555,1.1794,62.27,LANE_SURFACE_STREET,16.27,6.32,True
waymo:training_20s:1c3fe791a0efae1b,waymo,train,simple,58.09,16.0,0.2754,7.2,21.559,0.0124,11.38,LANE_SURFACE_STREET,57.84,25.04,False
waymo:training_20s:35032fc748002a8e,waymo,test,intersection,16.06,15.98,0.9952,7.19,-14.432,1.2873,56.98,LANE_SURFACE_STREET,15.66,6.05,True
waymo:training_20s:16951a513b81adcc,waymo,train,intersection,15.8,15.77,0.9978,7.1,-5.3,1.5358,16.74,LANE_SURFACE_STREET,15.46,5.96,False
waymo:training_20s:307e271aa0e35fda,waymo,test,intersection,15.63,15.57,0.9966,7.01,-11.527,1.6247,13.35,LANE_SURFACE_STREET,15.37,5.92,True
waymo:training_20s:4175188662068fe9,waymo,test,intersection,15.39,15.35,0.9972,6.91,-14.676,1.2352,41.73,LANE_SURFACE_STREET,15.23,5.85,True
waymo:training_20s:e3c7802dfbf537ea,waymo,train,intersection,15.24,15.21,0.9983,6.84,-3.544,0.0371,3.3,LANE_SURFACE_STREET,14.95,5.73,False
waymo:training_20s:e505b40e76e2d392,waymo,train,intersection,15.2,15.17,0.9985,6.83,-11.886,1.2862,13.39,LANE_SURFACE_STREET,15.02,5.76,True
waymo:training_20s:c7a8ae1bd60a30a5,waymo,train,intersection,15.07,15.02,0.9971,6.76,-8.074,1.1777,9.89,LANE_SURFACE_STREET,14.71,5.62,True
waymo:training_20s:6f664af9b8e2b780,waymo,test,intersection,105.15,15.0,0.1427,6.75,-10.972,0.148,11.61,LANE_SURFACE_STREET,105.01,46.26,False
waymo:training_20s:749234ad86c91233,waymo,train,intersection,111.86,15.0,0.1341,6.75,-7.761,0.1341,10.62,LANE_SURFACE_STREET,111.62,49.23,False
waymo:training_20s:e8ae16f788c46030,waymo,test,intersection,29.05,15.0,0.5163,6.75,-3.414,0.9838,3.44,LANE_SURFACE_STREET,28.79,11.96,False
